# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.667000e+01
# lRef        : 2.765000e+00
# Aref        : 2.162000e+00
# CofR        : (2.765000e+00 0.000000e+00 5.000000e-01)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.437363e+01	7.176857e+00	7.196775e+00	-1.629626e-01	2.190614e+00	-2.353576e+00	2.272095e+00	-9.958870e-03	1.537977e-03	4.128119e-02	2.217857e-02	1.910262e-02
2             	5.965096e+00	2.977582e+00	2.987514e+00	1.692412e-01	1.082558e+00	-9.133172e-01	9.979378e-01	-4.965810e-03	-2.713895e-04	6.219571e-03	2.838396e-03	3.381175e-03
3             	3.284934e+00	1.631385e+00	1.653549e+00	3.375032e-01	6.849755e-01	-3.474723e-01	5.162239e-01	-1.108233e-02	-3.440772e-03	1.967439e-02	6.396425e-03	1.327797e-02
4             	1.354918e+00	6.711221e-01	6.837961e-01	3.012966e-01	4.197285e-01	-1.184319e-01	2.690802e-01	-6.337018e-03	-3.378790e-03	1.173424e-02	2.488330e-03	9.245910e-03
5             	8.038397e-01	3.972740e-01	4.065657e-01	2.423372e-01	3.139568e-01	-7.161956e-02	1.927882e-01	-4.645881e-03	-5.489963e-03	1.115724e-02	8.865939e-05	1.106859e-02
6             	6.274732e-01	3.096442e-01	3.178290e-01	2.510496e-01	3.147940e-01	-6.374445e-02	1.892692e-01	-4.092379e-03	-5.876820e-03	1.018281e-02	-7.854156e-04	1.096822e-02
7             	5.780488e-01	2.854508e-01	2.925980e-01	3.042911e-01	3.586161e-01	-5.432502e-02	2.064706e-01	-3.573579e-03	-5.654463e-03	9.605509e-03	-8.517085e-04	1.045722e-02
8             	5.754670e-01	2.840268e-01	2.914402e-01	3.711729e-01	4.133440e-01	-4.217112e-02	2.277576e-01	-3.706673e-03	-5.018732e-03	1.094232e-02	4.524262e-04	1.048989e-02
9             	5.878752e-01	2.902916e-01	2.975836e-01	4.460599e-01	4.710393e-01	-2.497936e-02	2.480093e-01	-3.645982e-03	-2.805255e-03	9.552477e-03	1.970983e-03	7.581494e-03
10            	5.973340e-01	2.952039e-01	3.021301e-01	5.078806e-01	5.151750e-01	-7.294482e-03	2.612348e-01	-3.463113e-03	-5.285662e-04	8.085808e-03	3.514338e-03	4.571470e-03
11            	5.999089e-01	2.967663e-01	3.031426e-01	5.452079e-01	5.374968e-01	7.711126e-03	2.648928e-01	-3.188173e-03	8.499680e-04	7.606049e-03	4.652993e-03	2.953057e-03
12            	5.975392e-01	2.956108e-01	3.019285e-01	5.581946e-01	5.395483e-01	1.864631e-02	2.604510e-01	-3.158853e-03	1.141143e-03	1.015030e-02	6.216295e-03	3.934009e-03
13            	5.898782e-01	2.915630e-01	2.983151e-01	5.482781e-01	5.230490e-01	2.522905e-02	2.489100e-01	-3.376057e-03	4.269796e-04	1.549499e-02	8.174474e-03	7.320515e-03
14            	5.786613e-01	2.857477e-01	2.929136e-01	5.222476e-01	4.943792e-01	2.786838e-02	2.332554e-01	-3.582930e-03	-7.619025e-04	2.089076e-02	9.683479e-03	1.120728e-02
15            	5.680338e-01	2.800913e-01	2.879425e-01	4.866353e-01	4.596652e-01	2.697007e-02	2.163476e-01	-3.925615e-03	-2.262586e-03	2.513557e-02	1.030520e-02	1.483037e-02
16            	5.596310e-01	2.754059e-01	2.842251e-01	4.478954e-01	4.242583e-01	2.363715e-02	2.003106e-01	-4.409608e-03	-3.992450e-03	2.874564e-02	1.038037e-02	1.836527e-02
17            	5.507927e-01	2.706674e-01	2.801253e-01	4.103459e-01	3.907131e-01	1.963280e-02	1.855402e-01	-4.728939e-03	-5.978263e-03	3.244209e-02	1.024278e-02	2.219931e-02
18            	5.427279e-01	2.661385e-01	2.765894e-01	3.750150e-01	3.597708e-01	1.524421e-02	1.722633e-01	-5.225483e-03	-8.285027e-03	3.653111e-02	9.980529e-03	2.655058e-02
19            	5.352706e-01	2.617469e-01	2.735237e-01	3.459427e-01	3.348361e-01	1.110653e-02	1.618648e-01	-5.888432e-03	-1.034986e-02	3.978611e-02	9.543192e-03	3.024292e-02
20            	5.276788e-01	2.574563e-01	2.702225e-01	3.249822e-01	3.171713e-01	7.810885e-03	1.546802e-01	-6.383098e-03	-1.147106e-02	3.997211e-02	8.514994e-03	3.145712e-02
21            	5.182281e-01	2.527296e-01	2.654985e-01	3.092083e-01	3.040648e-01	5.143497e-03	1.494606e-01	-6.384421e-03	-1.131857e-02	3.626940e-02	6.816126e-03	2.945327e-02
22            	5.078515e-01	2.480150e-01	2.598364e-01	2.961329e-01	2.934095e-01	2.723464e-03	1.453430e-01	-5.910708e-03	-1.023467e-02	3.020895e-02	4.869804e-03	2.533915e-02
23            	4.978493e-01	2.436397e-01	2.542095e-01	2.860811e-01	2.853708e-01	7.102772e-04	1.423303e-01	-5.284884e-03	-8.718060e-03	2.415235e-02	3.358113e-03	2.079423e-02
24            	4.902953e-01	2.404346e-01	2.498607e-01	2.810900e-01	2.815421e-01	-4.520323e-04	1.409970e-01	-4.713087e-03	-7.151963e-03	1.916497e-02	2.430522e-03	1.673445e-02
25            	4.857501e-01	2.385938e-01	2.471563e-01	2.822134e-01	2.826202e-01	-4.068261e-04	1.415135e-01	-4.281280e-03	-5.953532e-03	1.659541e-02	2.344175e-03	1.425124e-02
26            	4.850738e-01	2.383536e-01	2.467202e-01	2.878657e-01	2.872529e-01	6.128870e-04	1.433200e-01	-4.183317e-03	-5.385643e-03	1.718516e-02	3.206936e-03	1.397822e-02
27            	4.889470e-01	2.400792e-01	2.488678e-01	2.960617e-01	2.939889e-01	2.072861e-03	1.459580e-01	-4.394296e-03	-5.268890e-03	1.980367e-02	4.632944e-03	1.517072e-02
28            	4.961661e-01	2.434003e-01	2.527658e-01	3.035737e-01	3.002466e-01	3.327156e-03	1.484597e-01	-4.682766e-03	-5.321457e-03	2.310107e-02	6.229078e-03	1.687199e-02
29            	5.038984e-01	2.469644e-01	2.569340e-01	3.074831e-01	3.035771e-01	3.906002e-03	1.498355e-01	-4.984795e-03	-5.266353e-03	2.593787e-02	7.702581e-03	1.823529e-02
30            	5.089906e-01	2.492693e-01	2.597213e-01	3.071721e-01	3.032982e-01	3.873909e-03	1.497121e-01	-5.226001e-03	-5.027854e-03	2.749817e-02	8.721232e-03	1.877694e-02
31            	5.103020e-01	2.497773e-01	2.605247e-01	3.041663e-01	3.006388e-01	3.527508e-03	1.485556e-01	-5.373678e-03	-4.766435e-03	2.785219e-02	9.159661e-03	1.869253e-02
32            	5.094143e-01	2.492341e-01	2.601801e-01	3.006098e-01	2.974579e-01	3.151883e-03	1.471530e-01	-5.472989e-03	-4.704357e-03	2.776719e-02	9.179239e-03	1.858795e-02
33            	5.086056e-01	2.487259e-01	2.598797e-01	2.978310e-01	2.952309e-01	2.600033e-03	1.463154e-01	-5.576888e-03	-4.972714e-03	2.789786e-02	8.976217e-03	1.892164e-02
34            	5.079356e-01	2.482952e-01	2.596404e-01	2.959959e-01	2.940821e-01	1.913784e-03	1.460841e-01	-5.672563e-03	-5.459088e-03	2.819566e-02	8.638743e-03	1.955692e-02
35            	5.069025e-01	2.477479e-01	2.591547e-01	2.941938e-01	2.930958e-01	1.098039e-03	1.459989e-01	-5.703408e-03	-6.158090e-03	2.857264e-02	8.128233e-03	2.044441e-02
36            	5.055437e-01	2.472096e-01	2.583340e-01	2.924570e-01	2.922901e-01	1.668897e-04	1.460616e-01	-5.562197e-03	-6.995164e-03	2.877906e-02	7.394366e-03	2.138469e-02
37            	5.036456e-01	2.466925e-01	2.569531e-01	2.909916e-01	2.915978e-01	-6.062783e-04	1.461021e-01	-5.130343e-03	-7.747590e-03	2.820159e-02	6.353205e-03	2.184839e-02
38            	5.012782e-01	2.462222e-01	2.550561e-01	2.901531e-01	2.912434e-01	-1.090236e-03	1.461668e-01	-4.416971e-03	-8.295197e-03	2.652911e-02	4.969360e-03	2.155975e-02
39            	4.985431e-01	2.458755e-01	2.526676e-01	2.903431e-01	2.915320e-01	-1.188888e-03	1.463605e-01	-3.396038e-03	-8.398903e-03	2.331457e-02	3.258380e-03	2.005619e-02
40            	4.948817e-01	2.453631e-01	2.495186e-01	2.917908e-01	2.924205e-01	-6.296825e-04	1.465251e-01	-2.077743e-03	-7.932736e-03	1.853162e-02	1.333075e-03	1.719855e-02
41            	4.895945e-01	2.440998e-01	2.454947e-01	2.932800e-01	2.926572e-01	6.227992e-04	1.460172e-01	-6.974230e-04	-6.996557e-03	1.293901e-02	-5.270537e-04	1.346606e-02
42            	4.844961e-01	2.427321e-01	2.417640e-01	2.936412e-01	2.918048e-01	1.836348e-03	1.449843e-01	4.840511e-04	-5.740405e-03	7.361117e-03	-2.059847e-03	9.420964e-03
43            	4.803009e-01	2.413845e-01	2.389164e-01	2.930455e-01	2.902658e-01	2.779666e-03	1.437431e-01	1.234016e-03	-4.410067e-03	2.721780e-03	-3.049177e-03	5.770957e-03
44            	4.772273e-01	2.400656e-01	2.371617e-01	2.917405e-01	2.883051e-01	3.435333e-03	1.424349e-01	1.451981e-03	-3.304388e-03	-1.919142e-04	-3.400345e-03	3.208431e-03
45            	4.750333e-01	2.385897e-01	2.364436e-01	2.902106e-01	2.863943e-01	3.816253e-03	1.412890e-01	1.073061e-03	-2.631566e-03	-1.238650e-03	-3.250891e-03	2.012241e-03
46            	4.732957e-01	2.367621e-01	2.365336e-01	2.889500e-01	2.848867e-01	4.063290e-03	1.404117e-01	1.142921e-04	-2.497208e-03	-4.594635e-04	-2.726940e-03	2.267476e-03
47            	4.714537e-01	2.344596e-01	2.369941e-01	2.879898e-01	2.836058e-01	4.384004e-03	1.396109e-01	-1.267230e-03	-2.920420e-03	1.980542e-03	-1.930149e-03	3.910692e-03
48            	4.696970e-01	2.320179e-01	2.376791e-01	2.877440e-01	2.828589e-01	4.885031e-03	1.389869e-01	-2.830631e-03	-3.772192e-03	5.576409e-03	-9.839880e-04	6.560397e-03
49            	4.685867e-01	2.299537e-01	2.386330e-01	2.881762e-01	2.828066e-01	5.369607e-03	1.387185e-01	-4.339613e-03	-4.902754e-03	9.717964e-03	-4.377231e-05	9.761736e-03
50            	4.676722e-01	2.282257e-01	2.394466e-01	2.885765e-01	2.827963e-01	5.780174e-03	1.385081e-01	-5.610448e-03	-6.092905e-03	1.367304e-02	7.436157e-04	1.292943e-02
51            	4.666920e-01	2.268665e-01	2.398255e-01	2.883468e-01	2.823153e-01	6.031473e-03	1.381419e-01	-6.479464e-03	-7.102117e-03	1.672733e-02	1.261548e-03	1.546578e-02
